Date,Symbol,Order,Shares
2008-02-11,IBM,BUY,100
2008-02-19,IBM,SELL,100
2008-02-20,IBM,BUY,100
2008-03-27,IBM,SELL,100
2008-04-01,IBM,BUY,100
2008-04-02,IBM,SELL,100
2008-04-09,IBM,BUY,100
2008-04-11,IBM,SELL,100
2008-04-14,IBM,BUY,100
2008-05-21,IBM,SELL,100
2008-05-22,IBM,BUY,100
2008-05-23,IBM,SELL,100
2008-05-27,IBM,BUY,100
2008-06-06,IBM,SELL,100
2008-06-16,IBM,BUY,100
2008-06-17,IBM,SELL,100
2008-07-08,IBM,BUY,100
2008-07-09,IBM,SELL,100
2008-07-10,IBM,BUY,100
2008-07-11,IBM,SELL,100
2008-07-15,IBM,BUY,100
2008-08-11,IBM,SELL,100
2008-09-19,IBM,BUY,100
2008-09-22,IBM,SELL,100
2008-09-25,IBM,BUY,100
2008-09-29,IBM,SELL,100
2008-09-30,IBM,BUY,100
2008-10-01,IBM,SELL,100
2008-10-30,IBM,BUY,100
2008-11-06,IBM,SELL,100
2008-12-03,IBM,BUY,100
2008-12-04,IBM,SELL,100
2008-12-05,IBM,BUY,100
2008-12-23,IBM,SELL,100
2008-12-30,IBM,BUY,100
2009-01-14,IBM,SELL,100
2009-01-16,IBM,BUY,100
2009-01-20,IBM,SELL,100
2009-01-21,IBM,BUY,100
2009-02-17,IBM,SELL,100
2009-02-27,IBM,BUY,100
2009-03-02,IBM,SELL,100
2009-03-12,IBM,BUY,100
2009-04-28,IBM,BUY,100
2009-05-08,IBM,SELL,100
2009-05-11,IBM,BUY,100
2009-05-13,IBM,SELL,100
2009-05-18,IBM,BUY,100
2009-05-21,IBM,SELL,100
2009-05-26,IBM,BUY,100
2009-05-27,IBM,SELL,100
2009-05-28,IBM,BUY,100
2009-06-18,IBM,SELL,100
2009-07-15,IBM,BUY,100
2009-08-17,IBM,SELL,100
2009-08-19,IBM,BUY,100
2009-08-28,IBM,SELL,100
2009-09-11,IBM,BUY,100
2009-09-29,IBM,SELL,100
2009-09-30,IBM,BUY,100
2009-10-01,IBM,SELL,100
2009-10-05,IBM,BUY,100
2009-10-06,IBM,BUY,100
2009-10-16,IBM,SELL,100
2009-10-19,IBM,BUY,100
2009-10-21,IBM,SELL,100
2009-10-22,IBM,BUY,100
2009-10-23,IBM,SELL,100
2009-11-05,IBM,BUY,100
2009-11-30,IBM,BUY,100
2009-12-09,IBM,BUY,100
2009-12-17,IBM,SELL,100
2009-12-18,IBM,BUY,100
